qhuu       撬
qywm       擅
qyvg       擁
qfbw       擋
qygq       撻
qirp       撼
qypo       據
qyps       擄 掳
qwlj       擇
qmbw       擂
qrrd       操
qomo       撿
qoyb       擒
qncr       擔
tkq        擎
jeq        擊
sjq        擘
qyx        擠
qjpn       擰
qjbf       擦
qpko       擬
qanr       擱
qitc       擴
qckl       擲
qmbe       擾
qqoj       攆
qwlp       擺
qlvk       擻
ddkq       攀
qybp       攏
qyrv       攘
qanw       攔
qnri       攙
qsjj       攝
quob       攜
qtog       攤
vfq        攣
qbue       攫
qhbu       攪
qswu       攬
je         支
vlok       收
suok       改
mok        攻
ysok       放
mmok       政
jrok       故
ykok       效
fbok       敝 敞
gsok       敖
ieok       救
jdok       教
bcok       敗
hrok       啟 敌
ojok       敏
odok       敘
ydok       敦
mjok       敢
tbok       散
trok       敬
ybye       敲
ybok       敵
isok       敷
lvok       數
dkmym      整
oook       斂
fkmnp      斃
yk         文
mgykg      斑
lyyk       斐
yj         斗
fdyj       料
odyj       斜
tvyj       斟
jjoyj      斡
hml        斤
hmy        斥
ckhml      斧
mrhml      斫
jjhml      斬
tchml      斯
ydhml      新
vihml      斷
yhs        方
ysoim      於
ysopd      施
ybyhs      旁
ysohv      旅
ysook      族
ysono      旋
ysohm      旌
ysosp      旎
ysotc      旗
ysokr      旖
aimlu      既
a          日 曰
am         旦
aj         早
pa         旨 旬
kna        旭
amj        旱
amg        旺
ta         昔
aphh       易
aa         昌
app        昆
ahvl       昂
ab         明
apim       昀
hpa        昏 筍
qka        春
ashr       昭
albk       映
ajd        昧
amyo       是
ahqm       星
aos        昨
agdi       時
miia       晉
ajv        晏
afmu       晃
amcw       晒
ahbr       晌
lgam       晝
anau       晚
ammr       晤
ammv       晨
aowj       晦
tca        普
adhl       晰
aqmb       晴
aaa        晶
ayrf       景 晾 晾
ajka       暑
ora        智
ayta       暗
abjj       暉 暈
arse       暇
abme       暖
llamh      暢
auam       暨
taka       暮
jla        暫
atce       暴
mhda       曆
aggu       曉
yaog       暹
awla       曙
abbe       曖
aitc       曠
aate       曝
atgs       曦
tw         曲 苗
lwp        曳
mlwk       更
apvo       曷
lga        書
twa        曹
abms       勗
cwa        曾
qoa        替
omwa       會
b          月
kb         有
bsle       服
bb         朋
tub        朔
bcmk       朕
iib        朗
ybhg       望
tcb        期
jjb        朝
btbo       朦
bybp       朧
d          木
ijc        朮
dm         本 杠 杠
dj         末
du         札
dmvs       朽
dy         朴
hjd        朱
hnd        朵 梨
dl         束
dnd        李
dr         杏
ddh        材
ddi        村
dg         杜
djk        杖
dsu        杞
dhhh       杉
dyhn       杭
dyhs       枋
dlbu       枕
dw         東
da         杳
dau        杷
dpp        枇
dje        枝
dd         林
dmf        杯
df         杰
dhe        板 皮
dmg        枉
dci        松
dhml       析
doj        杵
dok        枚
dylb       柿
end        染
dyg        柱
nhd        柔
tmd        某 芋
dwf        柬
krd        架
djr        枯
dbt        柵
dsno       柩
dmnr       柯
dmob       柄
dtm        柑
drsh       枴
dlw        柚
dam        查
dpr        枸
dha        柏
dos        柞
dhhl       柳
dyck       校
dyvo       核
jvd        案
dsmg       框 櫂
dmam       桓
dav        根
dgg        桂
dgr        桔
dsmm       栩
dyiu       梳
mwd        栗
yad        桌
eeed       桑
jid        栽
ypd        柴
dbmr       桐
nqd        桀
dher       格
dlmo       桃
dhjd       株
dnmu       桅
domg       栓
ecd        梁
dcnh       梯
dfb        梢
dytj       梓 樟
ddhni      梵
damj       桿
dnib       桶
dwd        梱 棵
dmmr       梧
dmlk       梗
dit        械
dnkg       梃
yitd       棄
dice       梭
dhql       梆
dowj       梅
dhmu       梔
olhd       條
hayd       梟
djrr       棺
djmf       棕
fbrd       棠
dbdb       棘 棗
dkmr       椅
ddw        棟
ddd        森
dii        棧
dyaj       棹
dqkq       棒
djlv       棲
dle        棣
dtmc       棋 橫
dapp       棍
djbm       植
dyfe       椒
dog        椎
dhab       棉
dbb        棚
diil       榔
tctd       業
ddnyo      楚
dppa       楷
djbj       楠
dqhk       楔
dmem       極
dsjl       椰
daiu       概
damh       楊
dybc       楨
drsj       楫
dwls       楞
dhni       楓
dnst       楹
domn       榆
dybs       榜
djcs       榨
djcr       榕
dyrb       槁
ffbd       榮
dmbc       槓
dttb       構
dqkd       榛
dobg       榷
dasm       榻
dogj       榫
dhhw       榴
dhui       槐
doir       槍
